Date (GMT+1),Non-Renewable,Renewable
,Power (MW),Power (MW)
2024-01-05T03:30+01:00,17458.74125,25203.97589
2024-01-05T03:45+01:00,17352.43429,25629.11772
2024-01-05T04:00+01:00,17363.5109,25879.59515
2024-01-05T04:15+01:00,17377.63673,26182.82688
2024-01-05T04:30+01:00,17460.58166,26479.52052
2024-01-05T04:45+01:00,17579.04207,26929.50142
2024-01-05T05:00+01:00,17971.69298,27474.10932
2024-01-05T05:15+01:00,18129.18504,27895.9558
2024-01-05T05:30+01:00,18434.36072,28365.21114
2024-01-05T05:45+01:00,18522.9804,28747.85402
2024-01-05T06:00+01:00,19009.23095,29577.95429
2024-01-05T06:15+01:00,19353.81123,30007.61325
2024-01-05T06:30+01:00,19608.40785,30379.74443
2024-01-05T06:45+01:00,20159.0163,30820.41579
2024-01-05T07:00+01:00,21056.36963,31437.94572
2024-01-05T07:15+01:00,21925.87714,31980.34488
2024-01-05T07:30+01:00,22300.55688,32455.32961
2024-01-05T07:45+01:00,22562.98968,32979.82591
2024-01-05T08:00+01:00,23057.14616,33308.87881
2024-01-05T08:15+01:00,23295.64277,33982.87769
2024-01-05T08:30+01:00,23298.80059,34456.29312
2024-01-05T08:45+01:00,23293.25032,34944.98714
2024-01-05T09:00+01:00,23385.28579,35659.98206
2024-01-05T09:15+01:00,23382.9237,36163.22057
2024-01-05T09:30+01:00,23477.7158,36702.54515
2024-01-05T09:45+01:00,23651.01197,37282.3421
2024-01-05T10:00+01:00,23780.75166,37991.5956
2024-01-05T10:15+01:00,23538.27716,38797.24716
2024-01-05T10:30+01:00,23317.2484,39448.67805
2024-01-05T10:45+01:00,23030.04772,40032.56216
2024-01-05T11:00+01:00,22958.67218,40618.65432
2024-01-05T11:15+01:00,22796.15066,40941.26372
2024-01-05T11:30+01:00,22753.57415,41048.60824
2024-01-05T11:45+01:00,22886.65096,41150.36556
2024-01-05T12:00+01:00,23176.3156,41144.14061
2024-01-05T12:15+01:00,23243.28791,40932.50658
2024-01-05T12:30+01:00,23244.68124,40579.96827
2024-01-05T12:45+01:00,23285.13529,40202.41648
2024-01-05T13:00+01:00,22954.41922,39704.28554
2024-01-05T13:15+01:00,22776.09066,39266.40874
2024-01-05T13:30+01:00,22603.66653,38847.20744
2024-01-05T13:45+01:00,22698.9171,38254.07656
2024-01-05T14:00+01:00,22690.79177,37860.31676
2024-01-05T14:15+01:00,22936.9816,37530.6188
2024-01-05T14:30+01:00,23007.27001,36658.22717
2024-01-05T14:45+01:00,23086.50521,35775.24016
2024-01-05T15:00+01:00,23357.66343,35201.37887
2024-01-05T15:15+01:00,23242.64883,34744.1986
2024-01-05T15:30+01:00,23604.80073,34246.24974
2024-01-05T15:45+01:00,23623.93602,33727.89108
2024-01-05T16:00+01:00,23753.15305,33245.47421
